title,action,minutes
How to Prevent Bleeding Gums,Visit your dentist regularly,11-20mins
How to Become an Image Consultant,Offer free makeovers,31-40mins
How to Become an Image Consultant,Create a portfolio,21-30mins
How to Become an Image Consultant,Become certified,11-20mins
How to Become an Image Consultant,Make up business cards,11-20mins
How to Be a Glow Girl,Consider wearing makeup if you want to,21-30mins
How to Be a Glow Girl,If you have nappy hair make it into an afro!,21-30mins
How to Gain Weight While on ADHD Medication,Try eating before you take your medication,21-30mins
How to Gain Weight While on ADHD Medication,Eat foods high in omega-3 and omega-6 fatty acids,1-10mins
How to Gain Weight While on ADHD Medication,Consume foods high in zinc magnesium and vitamin B6,11-20mins
How to Gain Weight While on ADHD Medication,Maintain a daily workout routine,11-20mins
How to Gain Weight While on ADHD Medication,Speak to your doctor about an appetite enhancing medication like Cyproheptadine,21-30mins
How to Attach a Garden Hose to a Kitchen Faucet,Unscrew the faucet tip,11-20mins
How to Attach a Garden Hose to a Kitchen Faucet,Make sure the hose gasket is in place the hose has a rubber or vinyl gasket in it to prevents leaks,1-10mins
How to Stay Happy,Breathe a little,11-20mins
How to Stay Happy,Break it down,11-20mins
How to Stay Happy,Eat smart,1-10mins
How to Stay Happy,Find your happy place,21-30mins
How to Stay Happy,Accept yourself,11-20mins
How to Turn a Crib Into a Toddler Bed,Remove the bedding,1-10mins
How to Turn a Crib Into a Toddler Bed,Adjust the height,21-30mins
How to Turn a Crib Into a Toddler Bed,Cut an opening in one of the sides,21-30mins
How to Turn a Crib Into a Toddler Bed,Cut notches into the side pieces,21-30mins
How to Teach a Toddler Simple Money Habits,Don't buy your toddler whatever he or she wants,21-30mins
How to Teach a Toddler Simple Money Habits,Let your child make some financial choices,31-40mins
How to Install Hydraulic Seals for Various Applications,Make working space,1-10mins
How to Install Hydraulic Seals for Various Applications,Oil the new O-ring,11-20mins
How to Install Hydraulic Seals for Various Applications,Wipe out the excessive oil,21-30mins
How to Install Hydraulic Seals for Various Applications,Install the fittings,11-20mins
How to Install Hydraulic Seals for Various Applications,Remove the debris of older back-up ring,11-20mins
How to Install Hydraulic Seals for Various Applications,Apply oil to the new back-up ring,11-20mins
How to Install Hydraulic Seals for Various Applications,Place the cylinder back,31-40mins
How to Observe Safe Toys and Gifts Month,Buy age appropriate toys,11-20mins
How to Observe Safe Toys and Gifts Month,Be aware of what's not considered safe this season,11-20mins
How to Observe Safe Toys and Gifts Month,Read the warnings and safety precautions accompanying the toy,11-20mins
How to Observe Safe Toys and Gifts Month,Read the instructions accompanying any toys,21-30mins
How to Observe Safe Toys and Gifts Month,Avoid getting anything that has excess string or cords such as slingshots,31-40mins
How to Observe Safe Toys and Gifts Month,Buy for durability,21-30mins
How to Observe Safe Toys and Gifts Month,Inspect all gifts as children open them,1-10mins
How to Observe Safe Toys and Gifts Month,Take allergies and food or chemical sensitivities into account when purchasing gifts for any age group,1-10mins
How to Observe Safe Toys and Gifts Month,Ask all gift recipients to be conscious of where they've placed their gifts after opening them if it's a family event such as Christmas,11-20mins
How to Bounce Back from Your Mistakes,Assume responsibility for your mistake,11-20mins
How to Bounce Back from Your Mistakes,Develop your resilience,21-30mins
How to Straighten Your Hair Overnight,Comb your hair out thoroughly,21-30mins
How to Neutralize Citric Acid,Pour the acid into the water,11-20mins
How to Neutralize Citric Acid,Monitor the pH of the solution,11-20mins
How to Neutralize Citric Acid,Choose a base,21-30mins
How to Neutralize Citric Acid,Dilute the base,11-20mins
How to Neutralize Citric Acid,Realize that water is amphoteric,11-20mins
How to Neutralize Citric Acid,Understand common byproducts of acid/base reactions,11-20mins
How to Make Light Rum Cake,Preheat the oven and prepare the pan,11-20mins
How to Make Light Rum Cake,Coat the pan with finely ground pecans,11-20mins
How to Make Light Rum Cake,Beat most of the cake ingredients,11-20mins
How to Make Light Rum Cake,Stir in the light rum vanilla and the optional butter rum flavor,11-20mins
How to Make Light Rum Cake,Cook the syrup until it thickens,11-20mins
How to Make Light Rum Cake,Stir in the vanilla and poke holes in the cake,21-30mins
How to Make Light Rum Cake,Pour the light rum sauce over the cake,11-20mins
How to Make Light Rum Cake,Let the cake rest before you serve it,21-30mins
How to Get On and Off an Escalator,Know when to take the elevator instead,31-40mins
How to Get On and Off an Escalator,Prepare yourself to enter the escalator,11-20mins
How to Get On and Off an Escalator,Step carefully onto the escalator,1-10mins
How to Get On and Off an Escalator,Plan your practice time,11-20mins
How to Get On and Off an Escalator,Stand properly on the escalator,11-20mins
How to Get On and Off an Escalator,Keep a steady grip on the handrail,1-10mins
How to Get On and Off an Escalator,Be careful with your bags,21-30mins
How to Get On and Off an Escalator,Step off promptly,11-20mins
How to Get On and Off an Escalator,Keep loose clothing clear of the top step,21-30mins
How to Get On and Off an Escalator,Move away from the exit area quickly,11-20mins
How to Crystallize Honey,Store your honey in a plastic jar,11-20mins
How to Write an Essay in Under 30 Minutes,Study the essay question,21-30mins
How to Write an Essay in Under 30 Minutes,Use the last five minutes to proofread your essay,21-30mins
How to Deal With Your First Week of College,Make sure you have the right materials,11-20mins
How to Make a Belt,Position the D rings,31-40mins
How to Make a Belt,Sew the end of the Jacquard belt,31-40mins
How to Make a Belt,Fuse your velvet ribbon together with iron-on tape,11-20mins
How to Make a Belt,Add lace to your cotton webbing belt,1-10mins
How to Remove a Coffee Stain from Carpet,Try lemon juice,1-10mins
How to Remove a Coffee Stain from Carpet,Use club soda,11-20mins
How to Remove a Coffee Stain from Carpet,Remove excess moisture first,11-20mins
How to Remove a Coffee Stain from Carpet,Test the solution on an inconspicuous area,41-50mins
How to Remove a Coffee Stain from Carpet,Apply the solution to your carpet,1-10mins
How to Remove a Coffee Stain from Carpet,Blot the wet area,11-20mins
How to Remove a Coffee Stain from Carpet,Flush the area with water,1-10mins
How to Remove a Coffee Stain from Carpet,Allow the carpet to dry,21-30mins
How to Be Certain That Your Choice to Not Marry Is Sound,Talk to both married and unmarried friends and relatives and ask them why or why not they chose to marry,1-10mins
How to Be Certain That Your Choice to Not Marry Is Sound,Consider alternative kinds of families,11-20mins
How to Be Certain That Your Choice to Not Marry Is Sound,Think about your partner's preferences,11-20mins
How to Be Certain That Your Choice to Not Marry Is Sound,Don't let money alone sway you,21-30mins
How to Be Certain That Your Choice to Not Marry Is Sound,Take comfort in the idea that your decision doesn't have to be final,21-30mins
How to Be Certain That Your Choice to Not Marry Is Sound,Break it to your partner (if you have one) gently without being harsh or pointing fingers,21-30mins
How to Make a Nursing Care Plan for a Postpartum Hemorrhage,Familiarize yourself with the causes of PPH,11-20mins
How to Make a Nursing Care Plan for a Postpartum Hemorrhage,Look for signs of placenta previa,31-40mins
How to Make a Nursing Care Plan for a Postpartum Hemorrhage,Check for an overdistended uterus,1-10mins
How to Make a Nursing Care Plan for a Postpartum Hemorrhage,Ask about a history of gestational hypertension or preeclampsia,21-30mins
How to Be in Your Happy Place,Make yourself comfortable,41-50mins
How to Be in Your Happy Place,Prepare to use Progressive Muscle Relaxation,11-20mins
How to Be in Your Happy Place,Start the relaxation process by closing your eyes and tensing your toes on one foot,1-10mins
How to Be in Your Happy Place,Repeat this process with the toes on your other foot and then move up to your calves,11-20mins
How to Be in Your Happy Place,Recognize the power of the mind,1-10mins
How to Be in Your Happy Place,Begin visualizing by mentally seeing yourself in your happy place,11-20mins
How to Be in Your Happy Place,Incorporate your other senses into the visualization process,31-40mins
How to Be in Your Happy Place,Believe in the process,21-30mins
How to Be Motivated to Work Out if You Are Heavily Overweight (Girls),Set a schedule one that's easy to follow,31-40mins
How to Be Motivated to Work Out if You Are Heavily Overweight (Girls),Be confident with what you are doing,1-10mins
How to Grow Legal Cannabis,Prepare the site,21-30mins
How to Grow Legal Cannabis,Plant your seeds,21-30mins
How to Grow Legal Cannabis,Feed your plants with fertilizer,1-10mins
How to Grow Legal Cannabis,Sex the plants,21-30mins
How to Grow Legal Cannabis,Watch for flowering,11-20mins
How to Grow Legal Cannabis,Dry your marijuana,21-30mins
How to Understand Violent Behavior in Children,Teach your child about appropriate behaviors,21-30mins
How to Understand Violent Behavior in Children,Set clear expectations,21-30mins
How to Understand Violent Behavior in Children,Create behavioral contracts with your child,31-40mins
How to Understand Violent Behavior in Children,Talk openly with your child about his emotions,31-40mins
How to Understand Violent Behavior in Children,Use a reward system,11-20mins
How to Understand Violent Behavior in Children,Be a good role model,11-20mins
How to Dry Laundry Without a Machine,Turn your blowdryer to a warm and high setting,21-30mins
How to Get Your Horse Used to a Show Atmosphere,Lead him around and let him get used to things,31-40mins
How to Get Your Horse Used to a Show Atmosphere,Lounge your horse in an area with horses around but not in it,11-20mins
How to Get Your Horse Used to a Show Atmosphere,Before your class ride in a quiet arena,1-10mins
How to Get Your Baby to Sleep Anywhere,Play white noise,11-20mins
How to Get Your Baby to Sleep Anywhere,Use music,41-50mins
How to Get Your Baby to Sleep Anywhere,Bring the necessities,11-20mins
How to Get Your Baby to Sleep Anywhere,Provide familiar items,11-20mins
How to Get Your Baby to Sleep Anywhere,Shield your baby from light,1-10mins
How to Get Your Baby to Sleep Anywhere,Remove problematic items at sleep time,1-10mins
How to Get Your Baby to Sleep Anywhere,Continue your pre-sleep routine,1-10mins
How to Use the Build Mode Tools in Sims,Know how to use the Wall tool,21-30mins
How to Use the Build Mode Tools in Sims,Click the miscellaneous button for other cool features,11-20mins
How to Make a Christmas Light Ball from Wire Hangers,Use four hangers in total,11-20mins
How to Make a Christmas Light Ball from Wire Hangers,Remove the hook part off the hanger,11-20mins
How to Make a Christmas Light Ball from Wire Hangers,Make adjustments to ensure that the circles are sitting evenly and make a clear sphere shape,11-20mins
How to Make a Christmas Light Ball from Wire Hangers,Weave the wire or tape to keep the circles firmly in place,11-20mins
How to Make a Christmas Light Ball from Wire Hangers,Weave a set of Christmas lights onto the ball,21-30mins
How to Apply for a Marriage License in Montana,Gather appropriate identification and documentation,11-20mins
How to Apply for a Marriage License in Montana,Fill out the application,21-30mins
How to Apply for a Marriage License in Montana,Go to the Clerk of District Court in your or another county,11-20mins
How to Apply for a Marriage License in Montana,Submit the application you have filled out,21-30mins
How to Apply for a Marriage License in Montana,Pay the appropriate fee,11-20mins
How to Apply for a Marriage License in Montana,Receive a copy of your license after the marriage is confirmed,21-30mins
How to Make Time Pass  Faster,Lose yourself in a good book,1-10mins
How to Choose a Lip Gloss,Understand what lip gloss is used for,1-10mins
How to Choose a Lip Gloss,Consider what you want from the lip gloss first of all,1-10mins
How to Choose a Lip Gloss,Ask the retail assistant for tips and colors that match with your face color if you are buying colored lip gloss,11-20mins
How to Choose a Lip Gloss,If choosing a flavored lip gloss aim for one that you like,11-20mins
How to Choose a Lip Gloss,Keep your budget in mind,11-20mins
How to Choose a Lip Gloss,Work out which container will fit best with your lifestyle,11-20mins
How to Choose a Lip Gloss,Choose a lip gloss suited to the occasion for which you'll be wearing it,21-30mins
How to Conduct an Ethnography,Secure funding if needed,11-20mins
How to Conduct an Ethnography,Bring it all together,11-20mins
How to Talk to Someone Who Doesn't Carry the Conversation,Have some talking points prepared,11-20mins
How to Talk to Someone Who Doesn't Carry the Conversation,Initiate conversation confidently,11-20mins
How to Be a Simple Person,Use correct posture,11-20mins
How to Be a Simple Person,Think before you speak,11-20mins
How to Be a Simple Person,Dress simply,21-30mins
How to Be a Simple Person,Have some manners,1-10mins
How to Be a Simple Person,Don't be a coward,1-10mins
How to Be a Simple Person,Have a good attitude,11-20mins
How to Be a Simple Person,Stick to good morals and values,21-30mins
How to Act Like a Horse Crazy Girl,Try to get your mom or dad to book you a riding lesson at the closest stable around,21-30mins
How to Act Like a Horse Crazy Girl,Buy some DVDs!,51-60mins
How to Act Like a Horse Crazy Girl,Work around horses so you know what they are like,11-20mins
How to Take the Paris Metro,Follow the signs to your platform,11-20mins
How to Take the Paris Metro,Keep an eye out for your stop,11-20mins
How to Buy Stocks,Look into buying a mutual fund,11-20mins
How to Buy Stocks,Learn about investment research,1-10mins
How to Buy Stocks,Search for companies of interest,31-40mins
How to Buy Stocks,Choose a business that performs well,21-30mins
How to Buy Stocks,Familiarize yourself with the concept of value,1-10mins
How to Buy Stocks,Investigate the possibility of buying stock directly from the issuer,21-30mins
How to Buy Stocks,Choose a broker,11-20mins
How to Spot a Diet Scam,Look for warnings on the diet,11-20mins
How to Get Wavy Hair Overnight,Cut the toes off the sock using a pair of scissors,11-20mins
How to Get Wavy Hair Overnight,Spray your ponytail with just enough water to make it slightly damp,11-20mins
How to Get Wavy Hair Overnight,Slip the ponytail through the sock ring,1-10mins
How to Get Wavy Hair Overnight,Tuck the hair around the sock evenly,11-20mins
How to Get Wavy Hair Overnight,Roll the hair onto the sock,1-10mins
How to Get Wavy Hair Overnight,Continue rolling your hair around the sock until you reach the base of the ponytail directly next to your head,11-20mins
How to Get Wavy Hair Overnight,Remove the sock bun in the morning and style your hair if you need to,21-30mins
How to Share a Folder,Mount the folder,1-10mins
How to Share a Folder,Save the file,31-40mins
How to Integrate Facebook Into Your Social Media Strategy,Be aware that social media amplifies the impact of your content,11-20mins
How to Integrate Facebook Into Your Social Media Strategy,Create discussions and others to reply,11-20mins
How to Integrate Facebook Into Your Social Media Strategy,Use groups to organize,21-30mins
How to Integrate Facebook Into Your Social Media Strategy,Use Pages for interaction without connection,21-30mins
How to Integrate Facebook Into Your Social Media Strategy,Regardless of which one you choose (of course you can have both) be sure to update regularly keep your audience engaged and offer something of value,11-20mins
How to Start a Concierge Business,Research competing businesses and find out which area is lacking services,11-20mins
How to Start a Concierge Business,Speak with the small business association or a small business lender if you're having trouble funding the business,11-20mins
How to Start a Concierge Business,Take a Course or buy a book,21-30mins
How to Prevent a Mental Breakdown,Get plenty of sleep each night,1-10mins
How to Prevent a Mental Breakdown,Keep tabs on your sugar and processed food intake,11-20mins
How to Prevent a Mental Breakdown,Try eating more B-vitamin foods,11-20mins
How to Prevent a Mental Breakdown,Eat foods rich in iron iodine and chromium,31-40mins
How to Restore Data in Bibliophilia,Launch Bibliophilia,11-20mins
How to Apply to a Prep School,Visit various prep schools and decide if prep school is right for you,1-10mins
How to Apply to a Prep School,Wait wait and wait!,11-20mins
How to Use Prescription Gel to Whiten Teeth,Wear your trays for the designated amount of time,1-10mins
How to Use Prescription Gel to Whiten Teeth,Avoid food and drinks that will stain your teeth,21-30mins
How to Use Prescription Gel to Whiten Teeth,Be careful when using whitening gel at home,11-20mins
How to Use Prescription Gel to Whiten Teeth,Follow up with your dentist,21-30mins
How to Request a Bail Hearing,Format your document,11-20mins
How to Request a Bail Hearing,Insert the caption,1-10mins
How to Request a Bail Hearing,Add an introduction,21-30mins
How to Request a Bail Hearing,Explain details about your arrest,11-20mins
How to Request a Bail Hearing,Identify the relevant law,1-10mins
How to Request a Bail Hearing,Argue why you are entitled to have bail reduced,21-30mins
How to Request a Bail Hearing,Conclude your motion,21-30mins
How to Request a Bail Hearing,Draft a certificate of service,1-10mins
How to Scan Your Computer for Viruses,Click the Scan tool,11-20mins
How to Scan Your Computer for Viruses,Select a scan option,1-10mins
How to Scan Your Computer for Viruses,Check for false detection,11-20mins
How to Scan Your Computer for Viruses,Delete real threats,11-20mins
How to Scan Your Computer for Viruses,Restart your computer,21-30mins
How to Write a Biographical Sketch,Gather information about the historical figure,31-40mins
How to Write a Biographical Sketch,Reflect on the life of the historical figure,11-20mins
How to Write a Biographical Sketch,Start with an anecdote,11-20mins
How to Write a Biographical Sketch,Provide relevant information in the body,11-20mins
How to Write a Biographical Sketch,Finish strong,21-30mins
How to Write a Biographical Sketch,Revise the work,1-10mins
How to Write a Biographical Sketch,Edit the work,11-20mins
How to Start a Preschool,Obtain a business license based on local and state requirements and create a legal business entity,11-20mins
How to Start a Preschool,Purchase furniture and supplies for your preschool,11-20mins
How to Start a Preschool,Hire employees for your preschool,21-30mins
How to Start a Preschool,Market your preschool,11-20mins
How to Eliminate Postpartum Hemorrhage,Perform a uterine massage,1-10mins
How to Eliminate Postpartum Hemorrhage,Try bimanual compression if the massage does not work,1-10mins
How to Eliminate Postpartum Hemorrhage,Use surgical methods to combat the PPH,41-50mins
How to Get Better at Call of Duty: Ghosts,Play offline first!,1-10mins
How to Get Better at Call of Duty: Ghosts,Watch your reload!,21-30mins
How to Get Better at Call of Duty: Ghosts,Create a class setup fitting to your play style,11-20mins
How to Get Better at Call of Duty: Ghosts,Use cover religiously,11-20mins
How to Get Better at Call of Duty: Ghosts,Watch YouTube COD content,21-30mins
How to Get Better at Call of Duty: Ghosts,Watch some streams or professionals,11-20mins
How to Get Better at Call of Duty: Ghosts,Learn from actual Call of Duty Professionals with CODCOACH,1-10mins
How to Create a Minimalist Garden,Use industrial elements to create a minimalist tidiness,1-10mins
How to Create a Minimalist Garden,Use horizontal juniper,1-10mins
How to Create a Minimalist Garden,Keep the symmetry front and back,21-30mins
How to Have Parisian Style,Focus on the shoes,11-20mins
How to Have Parisian Style,Stick with neutrals,11-20mins
How to Have Parisian Style,Wear the uniform,21-30mins
How to Have Parisian Style,Pay attention to fit,1-10mins
How to Have Parisian Style,Keep covered,11-20mins
How to Have Parisian Style,Don't wear a beret,11-20mins
How to Have Parisian Style,Dress like a Parisian male,11-20mins
How to Make Olive Bread,Cook the bread,11-20mins
How to Make Olive Bread,Cut into slices,11-20mins
How to File a Lawsuit in Virginia,Determine if you have the right court,31-40mins
How to File a Lawsuit in Virginia,Fill out your forms,11-20mins
How to File a Lawsuit in Virginia,Consider having an attorney review your forms,11-20mins
How to File a Lawsuit in Virginia,Have the lawsuit served on the other side,11-20mins
How to File a Lawsuit in Virginia,Wait for an answer from the other side,21-30mins
How to File a Lawsuit in Virginia,Prepare for your trial,11-20mins
How to Bathe a Pet Hedgehog,Fill the tub with three inches (2.5 to 8 centimeters) of water,21-30mins
How to Bathe a Pet Hedgehog,Lay your other supplies near the bath area,11-20mins
How to Bathe a Pet Hedgehog,Apply shampoo,31-40mins
How to Bathe a Pet Hedgehog,Clean the quills and feet with a toothbrush,11-20mins
How to Bathe a Pet Hedgehog,Rinse off your hedgehog,1-10mins
How to Bathe a Pet Hedgehog,Check your hedgehog's feet and legs in the bath,1-10mins
How to Bathe a Pet Hedgehog,Dry your hedgehog,11-20mins
How to Help a Classmate with Panic Attacks,Notice whether your classmate is having signs of a panic attack,11-20mins
How to Help a Classmate with Panic Attacks,Ask your teacher if you can accompany them to the nurse's office,11-20mins
How to Help a Classmate with Panic Attacks,Stay for as long as needed,21-30mins
How to Break in an RC Car Engine,Get familiar with the model,1-10mins
How to Break in an RC Car Engine,Start the engine,1-10mins
How to Break in an RC Car Engine,Make sure the engine is running,11-20mins
How to Break in an RC Car Engine,Turn the idle adjustment screw until the engine is idling just high enough to keep it running,11-20mins
How to Break in an RC Car Engine,Let the engine idle for 45-60 seconds to let it warm up a bit,1-10mins
How to Break in an RC Car Engine,Run the model using no more than 1/4 throttle varying the RPMs from time to time,1-10mins
How to Break in an RC Car Engine,Watch the fuel usage,11-20mins
How to Celebrate Christmas As a Teen,'Do winter activities with friends,1-10mins
How to Celebrate Christmas As a Teen,Listen to Christmas music,11-20mins
How to Date When You Have Children,Be sure that you really like your date,31-40mins
How to Date When You Have Children,Set up another meeting with your kid,11-20mins
How to Date When You Have Children,Slowly get your date and your kid used to each other,11-20mins
How to Date When You Have Children,Have some alone time with your kid,21-30mins
How to Use Magic Shovels in Farm Heroes Saga,Buy a Magic Shovel booster,31-40mins
How to Use Magic Shovels in Farm Heroes Saga,Tap/click on the Shovel when you want to use it,21-30mins
How to Use Magic Shovels in Farm Heroes Saga,Remove a cropsie,11-20mins
How to Use Magic Shovels in Farm Heroes Saga,Break ice using the Shovel,1-10mins
How to Use Magic Shovels in Farm Heroes Saga,Fill water buckets,1-10mins
How to Use Magic Shovels in Farm Heroes Saga,Immobilize the rabbit whenever possible,11-20mins
How to Make Cinnamon Crisps,Whisk the dry ingredients,21-30mins
How to Make Cinnamon Crisps,Make the egg wash. Get out a small prep bowl and crack one egg into it,1-10mins
How to Make Cinnamon Crisps,Combine the cinnamon and sugar for the topping,11-20mins
How to Make Cinnamon Crisps,Roll and cut the dough into rectangles,11-20mins
How to Make Cinnamon Crisps,Brush the cookies with the egg wash and sprinkle them with the topping,21-30mins
How to Make Cinnamon Crisps,Bake the Swiss cinnamon crisp cookies,31-40mins
How to Write a Reading Log,Keep the log near your favorite reading spot,1-10mins
How to Get Your Friend to Leave His Girlfriend,Consider the consequences,11-20mins
How to Get Your Friend to Leave His Girlfriend,Choose your words carefully,11-20mins
How to Get Your Friend to Leave His Girlfriend,Find a time to talk,1-10mins
How to Get Your Friend to Leave His Girlfriend,Discuss your concerns,11-20mins
How to Get Your Friend to Leave His Girlfriend,Don't tell your friend to break up,11-20mins
How to Get Your Friend to Leave His Girlfriend,Spend time to with your friend,11-20mins
How to Get Your Friend to Leave His Girlfriend,Keep your judgements out of the conversation,11-20mins
How to Get Your Friend to Leave His Girlfriend,Provide healthy distractions,21-30mins
How to Get Your Friend to Leave His Girlfriend,Suggest counseling,11-20mins
How to Make a Donation to Cancer Research,Shop to support the cancer treatment and research,11-20mins
How to Make a Donation to Cancer Research,Give securities stock shares retirement or insurance benefits for cancer research,11-20mins
How to Reply to an RSVP Email,Address the letter,21-30mins
How to Treat a Cold,Take some time off,11-20mins
How to Treat a Cold,Visit your doctor,21-30mins
How to Treat a Cold,Drink enough warm fluids,11-20mins
How to Treat a Cold,Gargle with warm salt water and baking soda,11-20mins
How to Treat a Cold,Turn on a humidifier or vaporizer,1-10mins
How to Treat a Cold,Take over-the-counter cold remedies,11-20mins
How to Treat a Cold,Avoid smoking,11-20mins
How to Age Metal,Find a piece of new shiny metal,21-30mins
How to Age Metal,Sand the metal object with 80-grit sandpaper,11-20mins
How to Age Metal,Let the coat of black acrylic dry overnight,1-10mins
How to Age Metal,Wet your brush,1-10mins
How to Age Metal,Wait for the coat of paint to dry,1-10mins
How to Prevent Dental Problems in Rabbits,Make sure your rabbit gets enough sunlight,11-20mins
How to Write Legal Briefs With Openoffice.Org,appellate brief body par style (paragraph style: double space lines),11-20mins
How to Write Legal Briefs With Openoffice.Org,appellate brief cover par style (paragraph style: single space lines),21-30mins
How to Write Legal Briefs With Openoffice.Org,Heading 3 (paragraph style: uses .89 .40 -.40 spacing),31-40mins
How to Choose the Right Eyeglass Frames for Your Face,Choose frames that complement the shape of your face,11-20mins
How to Choose the Right Eyeglass Frames for Your Face,Choose a frame size that complements your face size,11-20mins
How to Choose the Right Eyeglass Frames for Your Face,Choose glasses that work for what you need,21-30mins
How to Catch Ants for an Ant Farm,Collect the queen and her eggs,11-20mins
How to Catch Ants for an Ant Farm,Check your ant farm for holes,31-40mins
How to Make Your Room Pitch Black During the Day,Cover your windows with privacy film,11-20mins
How to Make Your Room Pitch Black During the Day,Sew blackout curtains yourself,21-30mins
How to Make Your Room Pitch Black During the Day,Buy blackout shades,21-30mins
How to Make Your Room Pitch Black During the Day,Block off the bottom of your door,51-60mins
How to Monitor Nestboxes,Alert the birds,21-30mins
How to Add and Subtract Integers,Learn how to solve the first problem on the far right,1-10mins
How to Add and Subtract Integers,Now solve the problem 14 - 8 and write the answer under the right column,11-20mins
How to Add and Subtract Integers,Now begin a problem where you subtract a larger number from a smaller number,21-30mins
How to Add and Subtract Integers,Write the smaller number underneath the larger and add a - sign in front of the answer,11-20mins
How to Become an Airline Gate Agent,Learn what an airline gate agent's duties are,31-40mins
How to Become an Airline Gate Agent,Find the right airline for you,21-30mins
How to Become an Airline Gate Agent,Look for an airline gate agent position,31-40mins
How to Shoot an Air Rifle,Note where the shot landed,31-40mins
How to Shoot an Air Rifle,Keep practicing,11-20mins
How to Get the Xenotech Expert Perk in Fallout,Download the Mothership Zeta DLC,11-20mins
How to Get the Xenotech Expert Perk in Fallout,Go into space,21-30mins
How to Get the Xenotech Expert Perk in Fallout,Play through the quest as you normally would,1-10mins
How to Get the Xenotech Expert Perk in Fallout,Locate the Weapons Lab,11-20mins
How to Get the Xenotech Expert Perk in Fallout,Kill the aliens inside the first part of the Weapons lab,41-50mins
How to Get the Xenotech Expert Perk in Fallout,Using an alien weapon (preferably the Alien Disintegrator) shoot the targets,1-10mins
How to Get the Xenotech Expert Perk in Fallout,Get in around ten hits; you will have the Xenotech Expert perk,11-20mins
How to Count to 20 in Italian,Learn the numbers up to five,21-30mins
How to Count to 20 in Italian,Follow up with six through ten,1-10mins
How to Count to 20 in Italian,Practice the numbers,11-20mins
How to Count to 20 in Italian,Learn the sounds of Italian vowels,1-10mins
How to Buy an Undermount Sink,Inquire about warranties and return policies,11-20mins
How to Buy an Undermount Sink,Read customer reviews especially if you buy the sink online,11-20mins
How to Weatherproof a Shed,Remove existing felt or shingles,11-20mins
How to Weatherproof a Shed,Paint the roof with waterproof paint or primer,11-20mins
How to Weatherproof a Shed,Lay the first piece of felt along the bottom edge of the roof,1-10mins
How to Weatherproof a Shed,Nail felt to the second side of the roof,11-20mins
How to Spot Signs of Club Drug Abuse,Look for tremors,21-30mins
How to Spot Signs of Club Drug Abuse,Notice a lack of inhibitions,31-40mins
How to Spot Signs of Club Drug Abuse,Check for excitability,11-20mins
How to Clear Up Rosacea Without Medication,Choose an oil-based cleanser,31-40mins
How to Clear Up Rosacea Without Medication,Massage oil onto your face,1-10mins
How to Clear Up Rosacea Without Medication,Gently wipe off the oil from your face,41-50mins
How to Clear Up Rosacea Without Medication,Pat dry your face,1-10mins
How to Clear Up Rosacea Without Medication,Apply oil-based moisturizer,21-30mins
How to Clear Up Rosacea Without Medication,Wear sunblock,11-20mins
How to Clear Up Rosacea Without Medication,Use a cool compress to cool your face,11-20mins
How to Pumice Feet,Scrub your feet with a pumice stone,21-30mins
How to Pumice Feet,Rinse and repeat the process,1-10mins
How to Pumice Feet,Use a pumice stone one to three times a week,11-20mins
How to Pumice Feet,Keep your pumice stone clean,21-30mins
How to Pumice Feet,Avoid sharing your pumice stone,11-20mins
How to Pumice Feet,Purchase pumice powder,11-20mins
How to Pumice Feet,Mix pumice powder with other ingredients to make a foot scrub,1-10mins
How to Pumice Feet,Make a cranberry seed pumice scrub for instance,1-10mins
How to Write Objectives and Key Results (OKRs),Make your objectives inspiring,51-60mins
How to Write Objectives and Key Results (OKRs),Plan time limits for your objectives,1-10mins
How to Write Objectives and Key Results (OKRs),Decide what to measure to assess your success,11-20mins
How to Write Objectives and Key Results (OKRs),Circulate your OKRs,1-10mins
How to Write Objectives and Key Results (OKRs),Monitor your OKRs,11-20mins
How to Write Objectives and Key Results (OKRs),Publish your results,21-30mins
How to Talk to a Girl by Texting,Introduce in your first text if she doesn't have you number,21-30mins
How to Make Modular Origami,Turn the paper over,1-10mins
How to Make Modular Origami,Turn the paper over and repeat on the other side,21-30mins
How to Make Modular Origami,Insert the tips of one module into the pocket of another,21-30mins
How to Find Out the Age and Value of a Guitar,Find the name of the maker on the headstock,21-30mins
How to Find Out the Age and Value of a Guitar,Try to find hidden details or a serial number if applicable,11-20mins
How to Find Out the Age and Value of a Guitar,Make sure to inspect the back and bottom of guitar,11-20mins
How to Find Out the Age and Value of a Guitar,Organize your findings,21-30mins
How to Find Out the Age and Value of a Guitar,Research your findings,1-10mins
How to Find Out the Age and Value of a Guitar,Compare it to photos of guitars you find,11-20mins
How to Find Out the Age and Value of a Guitar,Find a guitar expert in a guitarist's natural habitat,21-30mins
How to Find Out the Age and Value of a Guitar,Display the guitar,1-10mins
How to Find Out the Age and Value of a Guitar,Be patient,11-20mins
How to Help a Dog Adjust to Your Household Routine,Stock up on chew toys and treats,21-30mins
How to Help a Dog Adjust to Your Household Routine,Hire a dog walker,11-20mins
How to Help a Dog Adjust to Your Household Routine,Practice departure routines,21-30mins
How to Help a Dog Adjust to Your Household Routine,Shift meal times gradually,11-20mins
How to Help a Dog Adjust to Your Household Routine,Maintain a crate time schedule,21-30mins
