title,action,label
Improve Chances of Dating a Special Girl,Do your homework with her.,minutes
Fix a Hole in a Wall,Apply the sheetrock tape to all sides around the patch.,minutes
Fix a Hole in a Wall,Apply mud or joint compound in a straight line over the length of tape used.,minutes
Fix a Hole in a Wall,Sand with 120 grit sandpaper or sandpaper sponge.,minutes
Fix a Hole in a Wall,Try to reproduce any wall texture if necessary.,minutes
Fix a Hole in a Wall,Prime and then paint your patch to match the rest of the wall.,minutes
Catch a Bus,Find out which route is the one that will take you where you need to go.,minutes
Be Successful,Solve problems.,minutes
Write a Sympathy Card,If you knew the deceased share a memory.,minutes
Write a Sympathy Card,Tell the person that he or she is in your thoughts.,minutes
Batik,Begin to apply the wax with your tools.,minutes
Batik,Wash and dry your fabric.,hours
Do Oil Pulling,Spit out the oil and rinse your mouth out thoroughly with warm water.,minutes
Do Oil Pulling,Prepare the oil the night before.,minutes
Do Oil Pulling,Make it part of a light exercise routine.,minutes
Fit in at School if You Have a Disability,Join clubs and activities.,minutes
Fit in at School if You Have a Disability,Get out into the community.,minutes
Fit in at School if You Have a Disability,Treat others with kindness.,minutes
Fit in at School if You Have a Disability,Show off your talents.,minutes
Fit in at School if You Have a Disability,Focus on the friends you have.,minutes
Fit in at School if You Have a Disability,Don't be afraid to use available services.,minutes
Fit in at School if You Have a Disability,Learn self love.,minutes
Be an American Football Girlfriend,Make signs T-shirts with his name on it or wear his team colors when going to his games!,minutes
Be an American Football Girlfriend,Give him a massage after games/practices!,minutes
Remove Shellac Nail Polish,Apply cuticle oil to your cuticles.,hours
Find the Surface Area of a Rectangular Prism,Find the area of the front and back faces.,minutes
Find the Surface Area of a Rectangular Prism,Add the six areas together.,minutes
Find the Surface Area of a Rectangular Prism,Test it on an example.,minutes
Find the Surface Area of Cylinders,Do it again for the circle on the other side.,hours
Find the Surface Area of Cylinders,Find the circumference of one of the circles.,hours
Find the Surface Area of Cylinders,Multiply the circumference of the circle by the height of the cylinder.,hours
Find the Surface Area of Cylinders,Visualize the entire cylinder.,hours
Find the Surface Area of Cylinders,Double the area of one base.,hours
Collect Chinese Art,Educate yourself.,hours
Collect Chinese Art,See as many artworks as possible.,hours
Collect Chinese Art,Go to China.,hours
Collect Chinese Art,Research the artist.,hours
Collect Chinese Art,Be mindful of quality.,hours
Collect Chinese Art,Don't compete with wealthy non-Chinese art collectors.,hours
Collect Chinese Art,If you see something that you like grab it before it is gone.,hours
Make a Mustache,Cut the hair.,minutes
Make a Mustache,Remove and trim stray hairs.,minutes
Make a Mustache,Repeat with an upper layer.,minutes
Find the Density of Water,Weigh the empty graduated cylinder.,hours
Find the Density of Water,Know why density is important.,minutes
Find the Density of Water,Understand factors that can influence the density of a water.,minutes
File for Disability in New Mexico,List your medical conditions and treatment that keep you from working.,minutes
Make a Mobile,Make loops at the end of each piece of wire.,days
Become a CIO,Be dedicated.,days
Find All the Runes at the Hound Pits in Dishonored,Go down the sewers.,minutes
Find All the Runes at the Hound Pits in Dishonored,Duel with Lord Shaw.,hours
Excel at Supremacy in Age of Mythology,Understand that a citizen is about the equivalent of three Greek villagers.,seconds
Excel at Supremacy in Age of Mythology,Start rushing if you really want to take a risk.,seconds
Change Your Name in New Hampshire,Make sure your new name will be legal.,minutes
Change Your Name in New Hampshire,Make two copies of the Petition for Change of Name.,minutes
Change Your Name in New Hampshire,Change your name on your Social Security card.,minutes
Change Your Name in New Hampshire,Change your name on your driver's license or state ID card.,minutes
Make Chocolate Egg Nog Pie,Fold in the whipped cream gently when the mixture begins to thicken.,minutes
Make Chocolate Egg Nog Pie,Refrigerate thoroughly.,hours
Make Chocolate Egg Nog Pie,Show some presentable decorations with your delicious pie.,minutes
Make Girl Scout Cookies,Add the extracts and egg.,minutes
Make Girl Scout Cookies,Refrigerate the dough.,hours
Make Girl Scout Cookies,Preheat the oven to 350 degrees Fahrenheit.,hours
Make Girl Scout Cookies,Cut out the cookies.,hours
Make Girl Scout Cookies,Bake the cookies.,minutes
Compare Debt Consolidation Vs. Debt Settlement,Evaluate if you have the funds for a smaller pay-off.,minutes
Compare Debt Consolidation Vs. Debt Settlement,Beware of the repayment period.,minutes
Compare Debt Consolidation Vs. Debt Settlement,Consider the automatic withdrawal of funds.,hours
Be Pretty in a Catholic School,Ask your mother to alter your skirt differently than most wear it.,hours
Deep Fry Butternut Squash,Substitute meat in tacos.,hours
Display an Image Using SDL,Understand some basics before you begin.,minutes
Display an Image Using SDL,Create your event loop.,minutes
Display an Image Using SDL,Compile run and debug (if needed).,minutes
Look Like a Rocker,Choose a complementary shirt.,hours
Fill Out a Grant Deed,Verify that you can use a grant deed.,minutes
Fill Out a Grant Deed,Determine the grantees status as owners.,minutes
Fill Out a Grant Deed,Fill in the location and legal description of the property.,minutes
Choose the Right Workout Clothes,Incorporate supportive undergarments into your workout wardrobe.,minutes
Help a Senior Cat Get Through a Cold Winter,Keep the heat on when you leave.,hours
Help a Senior Cat Get Through a Cold Winter,Move furniture into sunny spots.,minutes
Pack for a Trip to Hong Kong,Bring US Dollars to change into Hong Kong Dollars.,minutes
Hold Your Own Street Theater,Decide on the occasion.,minutes
Hold Your Own Street Theater,Decide who will be doing what.,minutes
Hold Your Own Street Theater,Check that everyone has all they need by way of props and costumes.,minutes
Hold Your Own Street Theater,Have some people involved in monitoring everyone's well-being on the day.,minutes
Hold Your Own Street Theater,Spread the word.,minutes
Become a Navy Pilot,Earn your wings.,minutes
Make Your Own Pore Strips at Home,Wash your face with warm water.,seconds
Make Your Own Pore Strips at Home,Allow the mixture to cool slightly.,minutes
Make Your Own Pore Strips at Home,Wash and moisturize.,minutes
Make Cucumber Juice,Chop the cucumbers into large chunks.,minutes
Make Cucumber Juice,Stir the puree with a rubber spatula or metal spoon occasionally pressing down into the cheesecloth or mesh.,minutes
Write a Draft Report,Do the background research.,hours
Write a Draft Report,Determine the format required.,hours
Write a Draft Report,Add a watermark.,minutes
Write a Draft Report,Edit the report.,minutes
Write a Draft Report,Receive the comments amendments suggestions additional input etc.,hours
Write a Draft Report,Finalize the report.,minutes
Crochet Lace,Repeat across the chain.,minutes
Crochet Lace,Single crochet into the grouping space.,minutes
Crochet Lace,Work up a second row.,minutes
Crochet Lace,Gather and single crochet into the loops.,minutes
Crochet Lace,Fasten off the thread.,minutes
Buy a Hedgehog,Make sure it is legal.,hours
Buy a Hedgehog,Test the temperament of your chosen hedgehog:,minutes
Make Buttermilk with Vinegar,Make a round flat ball.,minutes
Stop Neck Cracking,See a chiropractor or osteopath.,minutes
Stop Neck Cracking,Get a professional neck massage.,minutes
Stop Neck Cracking,See your family doctor.,minutes
Discuss Barack Obama,Select some of President Obama's political positions from your research to discuss.,minutes
Discuss Barack Obama,Choose your own position on the topics.,minutes
Discuss Barack Obama,Ask everyone to leave personal bias at the door and be prepared to discuss a myriad of topics.,minutes
Discuss Barack Obama,Present your arguments in a civil and organized manner.,minutes
Discuss Barack Obama,Allow for organized debate.,minutes
Discuss Barack Obama,Defend your position but allow for flexibility.,minutes
Discuss Barack Obama,Remember that it is not necessary for your group to come to a consensus.,minutes
Start Conversations With Women,Be confident in your approach.,minutes
Start Conversations With Women,Have a natural conversation.,minutes
Notify a Tenant in Writing of an Increase,Understand your rights & responsibilities.,minutes
Notify a Tenant in Writing of an Increase,Use good rent-increase practices.,minutes
Notify a Tenant in Writing of an Increase,Consider an opening paragraph that indicates why your rates are increasing.,minutes
Notify a Tenant in Writing of an Increase,Outline the new rent.,minutes
Etch Glass,Choose a stencil pattern for the glass.,minutes
Etch Glass,Stick the design onto the glass at the exact place where you want it to show.,minutes
Etch Glass,Remove the resist from the glass.,minutes
Calculate Payroll,Verify that the forms are signed.,hours
Look Like a Pimp,Don't forget the vest.,seconds
Make a Fire Effect in Photoshop,Duplicate the text.,minutes
Make a Fire Effect in Photoshop,Make your image grayscale.,minutes
Make a Fire Effect in Photoshop,Convert to Indexed Color.,minutes
Sell Homemade Soaps,Practice your sales skills.,minutes
Guide Someone Who Is Blind or Visually Impaired,Ask if they would like you to take them there or if they would like directions.,hours
Make a Denim Board with Your Old Jeans,Note that you'll be left with four pockets.,hours
Make a Denim Board with Your Old Jeans,Add a hanger to the back of board.,hours
Make a Denim Board with Your Old Jeans,Paint inside the traced patterns.,minutes
Choose a Video Game for Children,Gather information about what they want.,minutes
Choose a Video Game for Children,Make sure you don't accidentally buy a sequel to a game your child hasn't played.,hours
Choose a Video Game for Children,Purchase the game and give it to your child.,minutes
Use Google Calendar,Edit an existing event.,minutes
Use Google Calendar,Reduce the calendar to display only work time.,minutes
Lease Breathing Machines and Anesthesia Equipment,Call each company on your shortlist.,seconds
Lease Breathing Machines and Anesthesia Equipment,Schedule a follow-up phone call or e-mail.,minutes
Attach Granny Squares,Make one granny row around the finished piece.,minutes
Have a Gothic Mind and Become Goth,Determine why you want to be Goth.,hours
Have a Gothic Mind and Become Goth,Do your research.,hours
Have a Gothic Mind and Become Goth,Read Gothic literature.,hours
Collaborate on a Story with Friends,Start coming up with ideas.,minutes
Collaborate on a Story with Friends,Try making a graphic organizer.,minutes
Collaborate on a Story with Friends,Begin the revising process.,minutes
Stop Being an Abusive Jerk,Accept that you have a problem.,hours
Stop Being an Abusive Jerk,Find a good counselor or therapist.,days
Stop Being an Abusive Jerk,Continue to learn about abuse and healthy relationships.,days
Give an Injection,Prepare a dose from a multi dose vial.,minutes
Give an Injection,Fill the syringe.,minutes
Give an Injection,Get the patient comfortable.,minutes
Get Rid of Itchy Eyes,Avoid getting dry eyes.,minutes
Get Rid of Itchy Eyes,Use over-the-counter eye drops.,minutes
Get Rid of Itchy Eyes,Eat more fatty acids.,minutes
Organize Papers Books and Objects in a Bedroom,Use boxes containers and hooks to store and tidy.,minutes
Use Your Sony PSP,Connect to the internet (wireless network and Wi-Fi required).,hours
Use Your Sony PSP,Get Music on your PSP.,minutes
Use Your Sony PSP,Use the Internet Browser.,hours
Moisturize Before Makeup,Consider a separate under-eye primer.,hours
Make Polish Gingerbread Cookies (Pierniczki),Cool and ice the cookies.,minutes
Implement an Accounting System,Create a budget and timeline.,minutes
Implement an Accounting System,Train your employees on the use of the system.,hours
Teach Your Toddler to Climb Stairs,Practice going up and down with them several times.,minutes
Start a Business As a Fashion Designer,Create Look Books.,hours
Organize and Run a Booth,Quiz people about their interests.,minutes
Organize and Run a Booth,Clean up your own area.,minutes
Organize and Run a Booth,Write down your experiences.,minutes
Prevent Acinetobacter Infection,Request that caregivers wash their hands before touching you.,minutes
Prevent Acinetobacter Infection,Insist that caregivers practice aseptic techniques.,minutes
Dye Leather,Use vinegar and rust to dye leather black.,hours
Create a Travel Itinerary,Make a list.,minutes
Create a Travel Itinerary,Account for your responsibilities.,minutes
Apply Cake Mascara,Decide if cake mascara is right for you.,minutes
Apply Cake Mascara,Use the internet to track down cake mascara.,minutes
Stretch Like a Contortionist,Try a back bend and splits combination.,minutes
Deal with Stubborn Children,Have faith.,seconds
Play Big Two,Continue play until everybody passes.,hours
Play Big Two,Score the remaining players.,hours
Start a Physical Therapy Business,Leave your previous position on a positive note.,minutes
Make a 3D Cube,Tape or glue all six sides of the cube together.,minutes
Feel Like a Teen when You're Not Yet Old Enough,Play games.,hours
Feel Like a Teen when You're Not Yet Old Enough,Don't lie about your age.,hours
Read an Astrology Chart,Find the ascendant.,minutes
Read an Astrology Chart,Learn about the last six houses.,minutes
Read an Astrology Chart,Locate the planets.,minutes
Be a Good Student in a New School,Try to meet with your teachers or school administrators ahead of time.,minutes
Be a Good Student in a New School,Gauge the level of participation expected.,minutes
Be a Good Student in a New School,Keep up with the reading and go over your notes.,minutes
Be a Good Student in a New School,Be a good influence.,minutes
Be a Good Student in a New School,Don't cuss.,minutes
Dissolve Blood Clots,Consider the danger of prolonged immobility.,minutes
Dissolve Blood Clots,Understand that long-term intravenous catheter use can lead to clots.,hours
Dissolve Blood Clots,Be aware of your family history.,hours
Make a Slam Book,Pass the slam book to a friend.,hours
Shop at GUM in Moscow,Travel to Red Square.,hours
Shop at GUM in Moscow,Eat at the Gastronome 1 on the first floor.,minutes
Not Feel Bad Because of a Mistake,Analyze your mistake so you can learn from it.,hours
Not Feel Bad Because of a Mistake,Care for yourself and those around you.,hours
Safely Use Essential Oils with Children,Avoid certain essential oils.,seconds
Safely Use Essential Oils with Children,Test for an asthmatic reaction.,minutes
Safely Use Essential Oils with Children,Create a very diluted essential oil mixture.,minutes
Be Prepared for Coachella,Obtain festival passes.,minutes
Make a Ghillie Suit,Select a usable suit to start your ghillie suit with.,minutes
Make a Ghillie Suit,Apply the netting to your suit.,seconds
Make a Ghillie Suit,Dye the jute if it isn't already dyed (optional).,minutes
Make a Ghillie Suit,Make a ghillie hood (optional).,minutes
Make a Ghillie Suit,Integrate items from your surroundings to keep the best profile.,minutes
Look Stylish While Being Overweight,Choose such clothing as leggings long skirts and skinny jeans.,minutes
Look Stylish While Being Overweight,Choose accessories that add to the outfit.,minutes
Look Stylish While Being Overweight,Get a boost from friends.,minutes
Avoid Lead Exposure from Food,Cut back on consuming canned foods.,days
Avoid Lead Exposure from Food,Avoid imported candy from undeveloped countries.,days
Use Taoism in Negotiation,Get into a good frame of mind.,minutes
Use a Strategic Staffing Plan to Improve Human Resource Management,Create a report about the current staffing needs in your business.,hours
Use a Strategic Staffing Plan to Improve Human Resource Management,Discuss company culture.,minutes
Use a Strategic Staffing Plan to Improve Human Resource Management,Identify talent gaps and surpluses.,minutes
Use a Strategic Staffing Plan to Improve Human Resource Management,Train your HR department and managers on your strategic staffing plan.,minutes
Plant a Gardenia,Fill the pot with potting mix.,hours
Plant a Gardenia,Repot gardenias every 2 years in the spring.,hours
Build School Play Props on a Budget,Check the Hardware Store for Paint.,minutes
Seek Social Support when You Have Anxiety Disorder,Choose positive influences as friends.,hours
Seek Social Support when You Have Anxiety Disorder,Adopt a pet.,hours
Seek Social Support when You Have Anxiety Disorder,Engage in a hobby.,hours
Seek Social Support when You Have Anxiety Disorder,Join a support group.,minutes
Seek Social Support when You Have Anxiety Disorder,Look into group therapy.,minutes
Seek Social Support when You Have Anxiety Disorder,Take a social skills class.,hours
Get a Head Start on College,Get an idea of what college you're attending.,minutes
Get a Head Start on College,Pick the brains of the student you contacted.,minutes
Get a Head Start on College,Look up the classes offered during the semester you will join the university.,minutes
Get a Head Start on College,Visit a/the college campus.,hours
Climb Steep Hills While Cycling,Prepare yourself mentally.,minutes
Climb Steep Hills While Cycling,Start the hill climb staying seated on the bike seat (or saddle).,minutes
Climb Steep Hills While Cycling,Toward the top of the hill stand up from the seat (saddle).,minutes
Climb Steep Hills While Cycling,Have a rest at the top of the hill.,minutes
Be Regular with Your Prayers in Islam,Understand what prayer is and learn the significance of it.,minutes
Be Regular with Your Prayers in Islam,Set alarms five minutes before the prayer time.,minutes
Respect Yourself During a Breakup,Gather your supporters.,minutes
Respect Yourself During a Breakup,Review the relationship.,minutes
Respect Yourself During a Breakup,Listen to breakup songs and stories.,minutes
Make a Bruise Go Away Faster,Eat pineapple or papaya.,hours
Make a Bruise Go Away Faster,Make a comfrey root paste.,minutes
Make a Bruise Go Away Faster,Soak the bruise in witch hazel oil.,minutes
Play and Win in 9 Ball Tournaments,Set aside some time for tournament play.,minutes
Play and Win in 9 Ball Tournaments,For a small percentage of your practice time play games.,minutes
Watch a Meteor Shower,Plan to stay up late or get up early.,minutes
Train Yourself to Be a Spy,Don't go over board with gadgets.,longer
Train Yourself to Be a Spy,Train yourself to defend.,longer
Get a Close Shave,Give your face a gentle exfoliation.,hours
Get a Close Shave,Apply aftershave or balm.,minutes
Paint a Pumpkin,Clean and dry your pumpkin.,hours
Paint a Pumpkin,Choose a design.,hours
Paint a Pumpkin,Trace your design onto the pumpkin.,minutes
Paint a Pumpkin,Paint your design.,minutes
Paint a Pumpkin,Use a sealant to set your design.,minutes
Paint a Pumpkin,Add decorations or embellishments (optional).,minutes
Create a Media Kit,Create a mission statement.,minutes
Be Consistent in Parenting Teens,Decide how important an issue is before you argue.,minutes
Be Consistent in Parenting Teens,Plan ahead.,minutes
Be Consistent in Parenting Teens,Prepare to be tested.,minutes
Be Consistent in Parenting Teens,Be consistent in your communication.,hours
Be Consistent in Parenting Teens,Provide consistent support.,hours
Survive Cataract Surgery,Undergo tests to measure the eye.,minutes
Survive Cataract Surgery,Know what to expect.,minutes
Survive Cataract Surgery,Take care of your eye(s).,minutes
Test Your Home for Radon (USA),Buy or order a testing kit.,minutes
Test Your Home for Radon (USA),Understand the results.,minutes
Retire Young,Avoid bad debt.,days
Tie Ice Skates,Cross the laces twice.,minutes
Tie Ice Skates,Take care of excess laces.,minutes
Put Pictures on a Flash Drive,Plug your flash drive into your Windows PC.,seconds
Put Pictures on a Flash Drive,Click and drag a photo into the flash drive window.,seconds
Put Pictures on a Flash Drive,Right-click the flash drive icon in My PC.,seconds
Install a Kitchen Backsplash,Completely cover your wall.,hours
Install a Kitchen Backsplash,Enjoy your new tile backsplash!,hours
Jump Start your Career Search,Polish your resume and make it visible.,minutes
Talk Your Parents Into Buying You a Car,Ask your parents about their objections.,minutes
Stop Putting Yourself Down,Forgive your mistakes.,minutes
Stop Putting Yourself Down,Talk to a therapist or mental health professional.,minutes
Achieve 99 Cooking on RuneScape,Levels 40-50.,hours
Achieve 99 Cooking on RuneScape,Levels 50-62.,hours
Prank Someone on a Mac,Open system preferences.,minutes
Clean Broccoli Rabe,Dry the greens.,minutes
Clean Broccoli Rabe,Blanch the broccoli rabe.,minutes
Store Loose Leaf Tea,Keep tea in the dark.,days
Wash Viscose,Have the rug dry cleaned if it is very important to you.,days
Clean Air Conditioner Coils,Disconnect power to the air conditioner.,seconds
Clean Air Conditioner Coils,Trim away any plant growth around the air conditioner.,minutes
Clean Air Conditioner Coils,Clean and lubricate the fan assembly.,minutes
Clean Air Conditioner Coils,Reassemble the air conditioner.,hours
Forgive,Put your negative feelings aside.,seconds
Forgive,Diffuse your anger.,seconds
Derive Poynting's Theorem,Relate the previous equation to charge density and current density.,minutes
Derive Poynting's Theorem,Use a vector calculus identity to write an expression with a term where both fields are in the cross product.,minutes
Reduce Your Gynecologic Cancer Risk,Consider your risk for vaginal and vulvar cancers.,minutes
Use Bias Tape,Stop sewing any part of the fabric.,days
Make a YouTube Plush Series,Choose a good place to film.,minutes
Choose a Microwave Oven,Read reviews.,seconds
Choose a Microwave Oven,Consider a model with a metal rack.,seconds
Set up a Photo in SketchUp Photo Match,Start adjusting the axis bars to line up with horizontal lines in your image.,minutes
Set up a Photo in SketchUp Photo Match,Once you have completed some surface areas click on Orbit and scroll around to see what it is looking like so far.,minutes
Set up a Photo in SketchUp Photo Match,Continue adding lines with the line tool.,minutes
Set up a Photo in SketchUp Photo Match,Once you have your building where you want it add some texture.,minutes
Make a Fork Bracelet,Roll one of the inner fork tines.,seconds
Make a Fork Bracelet,Make adjustments.,seconds
Stop Being Hungry Quickly,Brush your teeth.,minutes
Stop Being Hungry Quickly,Find an exciting activity.,minutes
Stop Being Hungry Quickly,Eat breakfast.,minutes
Stop Being Hungry Quickly,Eat adequate protein.,minutes
Stop Being Hungry Quickly,Choose high-fiber foods.,minutes
Stop Being Hungry Quickly,Satisfy cravings in a healthier manner.,minutes
Make a Padded Play Mat for Your Baby,Draw an arc on the square from corner to corner.Pin a piece of string to the corner where all of the folds meet.,minutes
Make a Padded Play Mat for Your Baby,Trace the circle you cut out onto the quilted backing fabric.,minutes
Make a Padded Play Mat for Your Baby,Sew your desired trim down.,minutes
Have a Good Life With All Your Stuffed Animals,Let them meet friends.,minutes
Have a Good Life With All Your Stuffed Animals,If he/she gets ripped patch them up.,minutes
Have a Good Life With All Your Stuffed Animals,If it is night grab all your stuffed animals and go into your room.,minutes
Choose a Luxury Hotel,Look at the prices with care.,minutes
Choose a Luxury Hotel,Consider whether events held at the hotel itself will disturb your stay.,minutes
Win at Kick Ups,Start using your non-dominant foot.,hours
Win at Kick Ups,Launch the ball up to your head using either your foot or thigh.,minutes
Win at Kick Ups,Practice consistently.,minutes
Win at Kick Ups,Find the motion that works best for you.,minutes
Win at Kick Ups,Do drills to get the technique just right.,minutes
Win at Kick Ups,Watch the ball.,minutes
Write an Abstract in MLA Style,Turn your notes and ideas into complete sentences.,minutes
Write an Abstract in MLA Style,Read through the summary you've just constructed.,minutes
Write an Abstract in MLA Style,Spell out acronyms the first time you use them.,minutes
Write an Abstract in MLA Style,Give it a final read-through yourself or with a friend.,minutes
Check a Forklift for Safe Use,Check the coolant engine oil and transmission fluid prior to operating.,minutes
Check a Forklift for Safe Use,Check the tires for any significant wear.,minutes
Check a Forklift for Safe Use,Look around the area where you are operating the machine and ask these questions:,minutes
Treat Lawn Fungus,Fertilize your lawn.,minutes
Treat Lawn Fungus,Mulch leaves into your lawn in autumn.,minutes
Treat Lawn Fungus,De-thatch your lawn.,hours
Look and Act Like a Teenage Vampire,Wear as little makeup as possible and always keep your face clean.,minutes
Make Fried Tofu Nuggets,Let the tofu drain for 30 minutes.,minutes
Make a 80s Style Tee Shirt,Make geometric patterns using painter's tape.,minutes
Win in the Arena in Hearthstone,Build your deck.,hours
Write About Yourself,Find the prompt.,hours
Write About Yourself,Describe why you're writing in the first paragraph.,minutes
Write About Yourself,Detail your talents and skills specifically.,minutes
Write About Yourself,Describe your goals and ambitions.,minutes
Write About Yourself,Explain how both parties will benefit from your selection.,minutes
Write About Yourself,Format the letter.,minutes
Choose an Online Dog Training Course,Beware of guarantees.,seconds
Lose 15 Pounds in 2 Weeks,Know the calorie content of the foods you eat.,minutes
Lose 15 Pounds in 2 Weeks,Eliminate sugar and most carbohydrates.,minutes
Lose 15 Pounds in 2 Weeks,Drink black coffee or unsweetened green tea.,minutes
Do a Hidden Dutch Lace Braid,Add hair to the top strand and braid.,minutes
Do a Hidden Dutch Lace Braid,Keep braiding until the braid is about five inches long.,hours
Do a Hidden Dutch Lace Braid,Braid the other front section of hair.,minutes
Make a Raw Cake,Place the crust base into the refrigerator to chill.,minutes
Perform a Dressage Test,Make sure you have all the correct riding gear.,minutes
Perform a Dressage Test,Ensure that your horse can do the correct moves.,minutes
Perform a Dressage Test,Ride the test once all the way through.,minutes
Perform a Dressage Test,Identify problems.,minutes
Perform a Dressage Test,Ride the test again a week or two before the show.,minutes
Perform a Dressage Test,Relax before the big day.,minutes
Work Less and Earn More,Decide whether you have a passion for real estate.,minutes
Work Less and Earn More,Talk to a real estate lawyer.,minutes
Work Less and Earn More,Decide what kind of tenants you want.,minutes
Work Less and Earn More,Research properties in your area.,minutes
Apply Hello Kitty Scene Makeup,Using a white eyeshadow highlight the inner corner and brow bone.,minutes
Apply Hello Kitty Scene Makeup,Apply either lots of mascara or false eyelashes to complete the look.,minutes
Describe a Smell,Identify your reason for describing the smell.,hours
Describe a Smell,Observe the smell.,hours
Describe a Smell,Use adjectives.,hours
Describe a Smell,Use nouns.,hours
Describe a Smell,Borrow words associated with other senses.,hours
Describe a Smell,Consider what feelings and emotions a smell evokes especially if you are using it as a literary device.,minutes
Describe a Smell,Use metaphor.,hours
Fight Heartburn with Herbal Supplements,Try herbal tinctures.,minutes
Recover Data from the Hard Drive of a Dead Laptop,Borrow a working desktop computer that is compatible with your old one.,minutes
Format a Memory Card,Understand the difference between formatting erasing.,hours
Format a Memory Card,Extract the installer.,hours
Format a Memory Card,Give the card a name.,minutes
Vomit Without Making a Mess,Abstain from alcohol.,longer
Start a Home Organization Business,Join professional groups like the National Association of Professional Organizers and other smaller organizations.,minutes
Build a Client Base,Define your agents of influence.,minutes
Feel Better when Depressed,Get Active and out there.,minutes
Hold a Horse's Reins,Hold opposite sides of the reins.,minutes
Hold a Horse's Reins,Adapt your style for ranch work.,minutes
Limit Home Radon Exposure,Find a qualified contractor.,days
Limit Home Radon Exposure,Install an aeration system.,days
Print on Canvas,Search online to buy digitized art prints.,minutes
Recognize Pica,Watch eating patterns.,hours
Recognize Pica,Consider prior medical conditions.,minutes
Recognize Pica,Detect red flags for pica.,minutes
Train Employees in Better Phone Skills,Start by training your team member from the beginning of a call.,hours
Train Employees in Better Phone Skills,Send your staff members for elocution or drama/theatrical lessons if they're working in a high-profile office.,days
Get Your Husband to Be Romantic,Improve listening skills.,longer
Get Your Husband to Be Romantic,Build up communication.,longer
Cash a Check,Endorse the check right before you're ready to cash it.,minutes
Cash a Check,Sign the check over to someone you trust.,hours
Diagnose Kleptomania,Talk to a doctor.,minutes
Hide Cuts,Wash your hands thoroughly.,hours
Hide Cuts,Keep an eye out for infection.,days
Get Organized in High School,Write things down so you don't forget them.,minutes
Get Organized in High School,Get the supplies that you will need for high school.,hours
Get Organized in High School,Get a separate notebook for each individual class.,minutes
Get Organized in High School,Establish a home study area.,minutes
Get Organized in High School,Have something to eat before you start any homework or assessment.,minutes
Get Organized in High School,Get a good night's sleep every night.,hours
Scotchgard Carpet,Vacuum your carpet thoroughly.,hours
Scotchgard Carpet,Steam clean older carpets.,hours
Scotchgard Carpet,Keep away from the area while the carpet dries..,hours
Get a Woman's Attention,Let her make up her mind.,minutes
Get a Woman's Attention,Smile at the girl whenever the situation is right.,minutes
Get a Woman's Attention,Make sure that when she talks to you you continue the conversation.,minutes
Get a Woman's Attention,Walk her home after school.,minutes
Meditate in Sahaja Yoga,Get to know yourself through self-realization.,longer
Meditate in Sahaja Yoga,Discover the inner subtle self.,longer
Act Like Damon Salvatore from the Vampire Diaries,Improve your appearance.,hours
Act Like Damon Salvatore from the Vampire Diaries,Study his personality.,minutes
Stay Healthy as a Trucker,Plan your day and include times to stop for food snack and exercise.,minutes
Stay Healthy as a Trucker,Eat healthier food.,minutes
Stay Healthy as a Trucker,Always have water available in your truck if you want to be a health conscious trucker and drink it often.,minutes
Stay Healthy as a Trucker,Quit smoking if you haven't already.,minutes
Stay Healthy as a Trucker,Make time to exercise every day.,minutes
Stay Healthy as a Trucker,Get plenty of rest to rejuvenate your mind and body.,minutes
Change Transmission Fluid,Lift and support the vehicle with jack stands.,minutes
Change Transmission Fluid,Locate the transmission fluid pan.,minutes
Change Transmission Fluid,Evaluate the transmission fluid filter and gaskets.,minutes
Be a Good Teaching Assistant,Take instructional tips from the teacher.,hours
Be a Good Teaching Assistant,Make bulletin boards and displays of student work.,hours
Be a Good Teaching Assistant,Assist with supervision during field trips.,hours
Be a Good Teaching Assistant,Proctor make-up tests for older students.,hours
Play Good Soccer,Practice for at least an hour at least once a week.,hours
Play Good Soccer,Learn useful moves such as cutting chopping and the scissor move.,hours
Care for a Hibernating Frog,Provide food during hibernation.,days
Make French Bread Pizza,Spread sauce over the bread.,hours
Eliminate the Deathclaws at Quarry Junction in Fallout: New Vegas,Get a full party (two companions).,minutes
Eliminate the Deathclaws at Quarry Junction in Fallout: New Vegas,Take down the two young Deathclaws at the entrance.,minutes
Eliminate the Deathclaws at Quarry Junction in Fallout: New Vegas,Save again and continue on.,minutes
Eliminate the Deathclaws at Quarry Junction in Fallout: New Vegas,Shoot until you see the mother Deathclaw.,minutes
Teach Horses to Step on a Tarp in Hand,Pin the tarp to the ground in advance.,minutes
Teach Horses to Step on a Tarp in Hand,Repeat with daily sessions.,minutes
Deal With Homesickness,Do some things you loved to do at home.,minutes
Deal With Homesickness,Get plenty of exercise.,hours
Deal With Homesickness,Talk with friends and family back home.,minutes
Deal With Homesickness,Avoid obsessing over your old home.,hours
Support Kidney Function,Follow instructions on over-the-counter pain medication.,minutes
Support Kidney Function,Discuss treatment options with your doctor.,minutes
Support Kidney Function,Treat complications with medication.,minutes
Support Kidney Function,Consider end-stage treatments.,minutes
Order a Phone Book,Request a copy online.,seconds
Embroider a Spider Web,Continue making your spokes.Thread a tapestry needle with a blunt tip.,minutes
Make Rice and Peas,Add the garlic and onion and cook until translucent.,hours
Make Rice and Peas,Combine the liquid beans and thyme with the garlic and onion.,hours
